Country,City,CameraName,CameraURL
us,"FL, Panama City",Panama City Beach Cam,https://www.earthcam.com/usa/florida/panamacitybeach/?cam=panamacitybeach
us,"FL, Gulf Breeze",Pensacola Watersports Cam,https://www.earthcam.com/usa/florida/pensacola/beach/
us,"FL, Orlando",Planet Earth Cam,https://www.earthcam.com/cams/earth/space/?cam=nasa_iss
us,"FL, Longboat Key",Sand Cay Beach Cam,https://www.earthcam.com/usa/florida/longboatkey/
us,"FL, Destin",Sandestin Beach,https://www.earthcam.com/usa/florida/destin/sandestinbeach/?cam=sandestin
us,"FL, Tampa",Tampa Cam,https://www.earthcam.com/usa/florida/tampa/
us,"FL, Tampa",Tampa Skyline Cam,https://www.earthcam.com/usa/florida/tampa/skyline/
us,"FL, West Palm Beach",Underwater Manatee Cam,https://www.earthcam.com/usa/florida/rivierabeach/manatee/?cam=underwatermanatee
us,"FL, Watersound",Watersound Beach Club Cam,https://www.earthcam.com/usa/florida/watersound/
us,"FL, Lauderdale-By-The-Sea",Windjammer Beach Club Cam,https://www.earthcam.com/usa/florida/lauderdalebythesea/?cam=windjammer
us,"GA, Atlanta",Atlanta Skyline Cam,https://www.earthcam.com/usa/georgia/atlanta/skyline/
us,"GA, Atlanta",Centennial Olympic Park Cam,https://www.earthcam.com/usa/georgia/atlanta/
us,"GA, Brunswick",College of Coastal Georgia Cam,https://www.earthcam.com/usa/georgia/brunswick/
us,"GA, Rising Fawn",The McLemore Golf Cam,https://www.earthcam.com/usa/georgia/risingfawn/
us,"HI, Kauai",Poipu Beach Cam,https://www.earthcam.com/usa/hawaii/kauai/
us,"HI, Honolulu",Waikiki Beach Cam,https://www.earthcam.com/usa/hawaii/waikiki/beach/
us,"HI, Honolulu",Waikiki Cam,https://www.earthcam.com/usa/hawaii/waikiki/
us,"HI, Waikoloa",Waikoloa Village Cam,https://www.earthcam.com/usa/hawaii/bigisland/waikoloa/
us,"ID, Idaho Falls",Penguin Cam,https://www.earthcam.com/usa/idaho/idahofalls/
us,"IL, Chicago",Chicago Cam,https://www.earthcam.com/usa/illinois/chicago/field/
us,"IL, Chicago",Midway Airport Cam,https://www.earthcam.com/usa/illinois/chicago/midwayairport/
us,"IL, Winthrop Harbor",North Point Marina Cam,http://www.earthcam.com/usa/illinois/winthropharbor/
us,"IL, Chicago",Skydeck Cam,https://www.earthcam.com/usa/illinois/chicago/skydeck/?cam=chicagoskydeck
us,"IL, Chicago",Skydeck Cam - North View,https://www.earthcam.com/usa/illinois/chicago/skydeck/?cam=chicagoskydeck2
us,"IL, Lovington",Soybean Farm Cam,https://www.earthcam.com/usa//illinois/lovington/
us,"IL, Chicago",Wrigley Field Cam,https://www.earthcam.com/usa/illinois/chicago/wrigleyfield/?cam=wrigleyfield_hd
us,"IL, Chicago",Wrigleyville Cam,https://www.earthcam.com/usa/illinois/chicago/wrigleyville/?cam=wrigleyville
us,"IN, Nashville",Brown County Leaf Cam,https://www.earthcam.com/usa/indiana/nashville/?cam=nashville_in
us,"IN, Carmel",Downtown Carmel Cam,https://www.earthcam.com/usa/indiana/carmel/
us,"IN, South Bend",University of Notre Dame Cam,https://www.earthcam.com/usa/indiana/notredame/
